Tipo de jornada;Grupo de edad;Decil;Periodo;Total
Total;De 16 a 24 años;8;2012;2.322,86
Total;De 16 a 24 años;8;2011;2.255,63
Total;De 16 a 24 años;8;2010;2.286,62
Total;De 16 a 24 años;8;2009;2.222,48
Total;De 16 a 24 años;8;2008;2.138,04
Total;De 16 a 24 años;8;2007;2.048,21
Total;De 16 a 24 años;8;2006;1.945,51
Total;De 16 a 24 años;9;2023;3.350,77
Total;De 16 a 24 años;9;2022;3.095,1
Total;De 16 a 24 años;9;2021;3.026,91
Total;De 16 a 24 años;9;2020;3.080,95
Total;De 16 a 24 años;9;2019;2.939,27
Total;De 16 a 24 años;9;2018;2.914,83
Total;De 16 a 24 años;9;2017;2.890,22
Total;De 16 a 24 años;9;2016;2.823,01
Total;De 16 a 24 años;9;2015;2.995,06
Total;De 16 a 24 años;9;2014;2.920,44
Total;De 16 a 24 años;9;2013;3.014,91
Total;De 16 a 24 años;9;2012;2.873,84
Total;De 16 a 24 años;9;2011;2.771,89
Total;De 16 a 24 años;9;2010;2.785,13
Total;De 16 a 24 años;9;2009;2.755,47
Total;De 16 a 24 años;9;2008;2.644
Total;De 16 a 24 años;9;2007;2.539,77
Total;De 16 a 24 años;9;2006;2.378,12
Total;De 16 a 24 años;10;2023;4.941,66
Total;De 16 a 24 años;10;2022;4.411,74
Total;De 16 a 24 años;10;2021;3.861,58
Total;De 16 a 24 años;10;2020;5.312
Total;De 16 a 24 años;10;2019;3.977,1
Total;De 16 a 24 años;10;2018;4.597,25
Total;De 16 a 24 años;10;2017;4.053,12
Total;De 16 a 24 años;10;2016;3.784,74
Total;De 16 a 24 años;10;2015;3.862,43
Total;De 16 a 24 años;10;2014;5.070,52
Total;De 16 a 24 años;10;2013;4.368,04
Total;De 16 a 24 años;10;2012;4.193
Total;De 16 a 24 años;10;2011;4.167,22
Total;De 16 a 24 años;10;2010;4.091,49
Total;De 16 a 24 años;10;2009;4.206,61
Total;De 16 a 24 años;10;2008;3.968,34
Total;De 16 a 24 años;10;2007;3.661,64
Total;De 16 a 24 años;10;2006;3.320,58
Total;De 25 a 34 años;Total decil;2023;2.011,46
Total;De 25 a 34 años;Total decil;2022;1.836,99
Total;De 25 a 34 años;Total decil;2021;1.765,31
Total;De 25 a 34 años;Total decil;2020;1.723,71
Total;De 25 a 34 años;Total decil;2019;1.671,54
Total;De 25 a 34 años;Total decil;2018;1.615,2
Total;De 25 a 34 años;Total decil;2017;1.557,7
Total;De 25 a 34 años;Total decil;2016;1.543,9
Total;De 25 a 34 años;Total decil;2015;1.502,5
Total;De 25 a 34 años;Total decil;2014;1.575,92
Total;De 25 a 34 años;Total decil;2013;1.581,7
Total;De 25 a 34 años;Total decil;2012;1.589,38
Total;De 25 a 34 años;Total decil;2011;1.644,48
Total;De 25 a 34 años;Total decil;2010;1.653,79
Total;De 25 a 34 años;Total decil;2009;1.637,8
Total;De 25 a 34 años;Total decil;2008;1.620,52
Total;De 25 a 34 años;Total decil;2007;1.506,14
Total;De 25 a 34 años;Total decil;2006;1.453,98
Total;De 25 a 34 años;1;2023;682,64
Total;De 25 a 34 años;1;2022;655,12
Total;De 25 a 34 años;1;2021;600,75
Total;De 25 a 34 años;1;2020;529,92
Total;De 25 a 34 años;1;2019;560,48
Total;De 25 a 34 años;1;2018;500,94
Total;De 25 a 34 años;1;2017;480,83
Total;De 25 a 34 años;1;2016;488,42
Total;De 25 a 34 años;1;2015;443,73
Total;De 25 a 34 años;1;2014;427,2
Total;De 25 a 34 años;1;2013;419,58
Total;De 25 a 34 años;1;2012;439,43
Total;De 25 a 34 años;1;2011;483,77
Total;De 25 a 34 años;1;2010;496,64
Total;De 25 a 34 años;1;2009;518,71
Total;De 25 a 34 años;1;2008;510,26
Total;De 25 a 34 años;1;2007;505,8
Total;De 25 a 34 años;1;2006;487,61
Total;De 25 a 34 años;2;2023;1.206,04
Total;De 25 a 34 años;2;2022;1.131,63
Total;De 25 a 34 años;2;2021;1.033,3
Total;De 25 a 34 años;2;2020;1.009,38
Total;De 25 a 34 años;2;2019;1.001,29
Total;De 25 a 34 años;2;2018;903,64
Total;De 25 a 34 años;2;2017;870,55
Total;De 25 a 34 años;2;2016;860,14
Total;De 25 a 34 años;2;2015;835,18
Total;De 25 a 34 años;2;2014;822,5
Total;De 25 a 34 años;2;2013;809,13
Total;De 25 a 34 años;2;2012;844,88
Total;De 25 a 34 años;2;2011;862,59
Total;De 25 a 34 años;2;2010;904,33
Total;De 25 a 34 años;2;2009;875,07
Total;De 25 a 34 años;2;2008;890,64
Total;De 25 a 34 años;2;2007;853,74
Total;De 25 a 34 años;2;2006;803,76
Total;De 25 a 34 años;3;2023;1.433,88
Total;De 25 a 34 años;3;2022;1.334,12
Total;De 25 a 34 años;3;2021;1.252,66
Total;De 25 a 34 años;3;2020;1.239,62
Total;De 25 a 34 años;3;2019;1.216,62
Total;De 25 a 34 años;3;2018;1.157,67
Total;De 25 a 34 años;3;2017;1.124,01
Total;De 25 a 34 años;3;2016;1.120,85
Total;De 25 a 34 años;3;2015;1.098,3
Total;De 25 a 34 años;3;2014;1.096,83
Total;De 25 a 34 años;3;2013;1.103,12
Total;De 25 a 34 años;3;2012;1.115,91
Total;De 25 a 34 años;3;2011;1.128,69
Total;De 25 a 34 años;3;2010;1.141,66
Total;De 25 a 34 años;3;2009;1.119,17
Total;De 25 a 34 años;3;2008;1.114,37
Total;De 25 a 34 años;3;2007;1.058,78
Total;De 25 a 34 años;3;2006;1.004,98
Total;De 25 a 34 años;4;2023;1.629,62
Total;De 25 a 34 años;4;2022;1.524,04
Total;De 25 a 34 años;4;2021;1.456,15
Total;De 25 a 34 años;4;2020;1.425,03
Total;De 25 a 34 años;4;2019;1.418,29
Total;De 25 a 34 años;4;2018;1.356,54
Total;De 25 a 34 años;4;2017;1.324,58
Total;De 25 a 34 años;4;2016;1.325,34
Total;De 25 a 34 años;4;2015;1.311
Total;De 25 a 34 años;4;2014;1.312,24
Total;De 25 a 34 años;4;2013;1.315,12
Total;De 25 a 34 años;4;2012;1.321,38
Total;De 25 a 34 años;4;2011;1.310,93
Total;De 25 a 34 años;4;2010;1.316,1
Total;De 25 a 34 años;4;2009;1.290,16
Total;De 25 a 34 años;4;2008;1.266,96
Total;De 25 a 34 años;4;2007;1.203,58
Total;De 25 a 34 años;4;2006;1.145,55
Total;De 25 a 34 años;5;2023;1.835,07
Total;De 25 a 34 años;5;2022;1.710,21
Total;De 25 a 34 años;5;2021;1.651,07
Total;De 25 a 34 años;5;2020;1.608,21
Total;De 25 a 34 años;5;2019;1.590,96
Total;De 25 a 34 años;5;2018;1.543,43
Total;De 25 a 34 años;5;2017;1.494,1
Total;De 25 a 34 años;5;2016;1.495,01
Total;De 25 a 34 años;5;2015;1.493,15
Total;De 25 a 34 años;5;2014;1.502,93
Total;De 25 a 34 años;5;2013;1.501,89
Total;De 25 a 34 años;5;2012;1.486,15
Total;De 25 a 34 años;5;2011;1.486,21
Total;De 25 a 34 años;5;2010;1.476,66
Total;De 25 a 34 años;5;2009;1.442,19
Total;De 25 a 34 años;5;2008;1.411,49
Total;De 25 a 34 años;5;2007;1.337,46
Total;De 25 a 34 años;5;2006;1.269,08
Total;De 25 a 34 años;6;2023;2.066,79
Total;De 25 a 34 años;6;2022;1.908,26
Total;De 25 a 34 años;6;2021;1.866,58
Total;De 25 a 34 años;6;2020;1.815,19
Total;De 25 a 34 años;6;2019;1.791,06
Total;De 25 a 34 años;6;2018;1.747,86
Total;De 25 a 34 años;6;2017;1.697,06
Total;De 25 a 34 años;6;2016;1.698,62
Total;De 25 a 34 años;6;2015;1.698,92
Total;De 25 a 34 años;6;2014;1.714,16
Total;De 25 a 34 años;6;2013;1.702,88
Total;De 25 a 34 años;6;2012;1.685,68
Total;De 25 a 34 años;6;2011;1.679,34
Total;De 25 a 34 años;6;2010;1.669,06
Total;De 25 a 34 años;6;2009;1.625,21
Total;De 25 a 34 años;6;2008;1.572,03
Total;De 25 a 34 años;6;2007;1.490,85
Total;De 25 a 34 años;6;2006;1.418,72
Total;De 25 a 34 años;7;2023;2.354,45
Total;De 25 a 34 años;7;2022;2.175,41
Total;De 25 a 34 años;7;2021;2.153,39
Total;De 25 a 34 años;7;2020;2.105,4
Total;De 25 a 34 años;7;2019;2.057,06
Total;De 25 a 34 años;7;2018;2.014,85
Total;De 25 a 34 años;7;2017;1.964,86
Total;De 25 a 34 años;7;2016;1.972,36
Total;De 25 a 34 años;7;2015;1.960,65
Total;De 25 a 34 años;7;2014;1.990,94
Total;De 25 a 34 años;7;2013;1.979,23
Total;De 25 a 34 años;7;2012;1.940,96
Total;De 25 a 34 años;7;2011;1.931,09
Total;De 25 a 34 años;7;2010;1.915,26
Total;De 25 a 34 años;7;2009;1.866,41
Total;De 25 a 34 años;7;2008;1.795,28
Total;De 25 a 34 años;7;2007;1.703,15
Total;De 25 a 34 años;7;2006;1.634,23
Total;De 25 a 34 años;8;2023;2.788,9
Total;De 25 a 34 años;8;2022;2.600,07
Total;De 25 a 34 años;8;2021;2.553,61
Total;De 25 a 34 años;8;2020;2.544,85
Total;De 25 a 34 años;8;2019;2.453,91
Total;De 25 a 34 años;8;2018;2.421,27
Total;De 25 a 34 años;8;2017;2.356,87
Total;De 25 a 34 años;8;2016;2.339,51
Total;De 25 a 34 años;8;2015;2.346,88
Total;De 25 a 34 años;8;2014;2.386,15
Total;De 25 a 34 años;8;2013;2.360,49
Total;De 25 a 34 años;8;2012;2.295,13
Total;De 25 a 34 años;8;2011;2.299,56
Total;De 25 a 34 años;8;2010;2.298,79
Total;De 25 a 34 años;8;2009;2.240,68
Total;De 25 a 34 años;8;2008;2.143,78
Total;De 25 a 34 años;8;2007;2.044,88
Total;De 25 a 34 años;8;2006;1.962,38
Total;De 25 a 34 años;9;2023;3.369,69
Total;De 25 a 34 años;9;2022;3.160,82
Total;De 25 a 34 años;9;2021;3.121,95
Total;De 25 a 34 años;9;2020;3.104,17
Total;De 25 a 34 años;9;2019;2.987,18
Total;De 25 a 34 años;9;2018;2.956,12
Total;De 25 a 34 años;9;2017;2.926,6
Total;De 25 a 34 años;9;2016;2.879,33
Total;De 25 a 34 años;9;2015;2.910,63
Total;De 25 a 34 años;9;2014;2.910,69
Total;De 25 a 34 años;9;2013;2.873,94
Total;De 25 a 34 años;9;2012;2.805,41
Total;De 25 a 34 años;9;2011;2.808,69
Total;De 25 a 34 años;9;2010;2.810,74
Total;De 25 a 34 años;9;2009;2.779,66
Total;De 25 a 34 años;9;2008;2.655,24
Total;De 25 a 34 años;9;2007;2.535,5
Total;De 25 a 34 años;9;2006;2.430,3
Total;De 25 a 34 años;10;2023;5.037,16
Total;De 25 a 34 años;10;2022;4.590,72
Total;De 25 a 34 años;10;2021;4.950,33
Total;De 25 a 34 años;10;2020;4.794,62
Total;De 25 a 34 años;10;2019;4.333,23
Total;De 25 a 34 años;10;2018;4.574,49
Total;De 25 a 34 años;10;2017;4.486,68
Total;De 25 a 34 años;10;2016;4.394,87
Total;De 25 a 34 años;10;2015;4.357,88
Total;De 25 a 34 años;10;2014;4.444,63
Total;De 25 a 34 años;10;2013;4.323,6
Total;De 25 a 34 años;10;2012;4.447,85
Total;De 25 a 34 años;10;2011;4.300,67
Total;De 25 a 34 años;10;2010;4.160,99
Total;De 25 a 34 años;10;2009;4.248,27
Total;De 25 a 34 años;10;2008;4.086,8
Total;De 25 a 34 años;10;2007;3.534,72
Total;De 25 a 34 años;10;2006;3.582,03
Total;De 35 a 44 años;Total decil;2023;2.279,69
Total;De 35 a 44 años;Total decil;2022;2.172,8
Total;De 35 a 44 años;Total decil;2021;2.113,89
Total;De 35 a 44 años;Total decil;2020;2.048,47
Total;De 35 a 44 años;Total decil;2019;2.015,83
Total;De 35 a 44 años;Total decil;2018;2.020,61
Total;De 35 a 44 años;Total decil;2017;1.953,54
Total;De 35 a 44 años;Total decil;2016;1.915,8
Total;De 35 a 44 años;Total decil;2015;1.961,03
Total;De 35 a 44 años;Total decil;2014;1.951,49
Total;De 35 a 44 años;Total decil;2013;1.938,74
Total;De 35 a 44 años;Total decil;2012;1.921,95
Total;De 35 a 44 años;Total decil;2011;1.889,13
Total;De 35 a 44 años;Total decil;2010;1.868,04
Total;De 35 a 44 años;Total decil;2009;1.886,05
Total;De 35 a 44 años;Total decil;2008;1.868,84
Total;De 35 a 44 años;Total decil;2007;1.736,16
Total;De 35 a 44 años;Total decil;2006;1.638,34
Total;De 35 a 44 años;1;2023;656,86
Total;De 35 a 44 años;1;2022;640,13
Total;De 35 a 44 años;1;2021;589,89
Total;De 35 a 44 años;1;2020;548,05
Total;De 35 a 44 años;1;2019;538,06
Total;De 35 a 44 años;1;2018;471,55
Total;De 35 a 44 años;1;2017;479,22
Total;De 35 a 44 años;1;2016;456,92
Total;De 35 a 44 años;1;2015;423,45
Total;De 35 a 44 años;1;2014;413,32
Total;De 35 a 44 años;1;2013;422,31
Total;De 35 a 44 años;1;2012;423,65
Total;De 35 a 44 años;1;2011;475,01
Total;De 35 a 44 años;1;2010;485,15
Total;De 35 a 44 años;1;2009;503,99
Total;De 35 a 44 años;1;2008;504,48
Total;De 35 a 44 años;1;2007;516,41
Total;De 35 a 44 años;1;2006;472,37
Total;De 35 a 44 años;2;2023;1.206,4
Total;De 35 a 44 años;2;2022;1.136,87
Total;De 35 a 44 años;2;2021;1.037,71
Total;De 35 a 44 años;2;2020;1.005,74
Total;De 35 a 44 años;2;2019;989,62
Total;De 35 a 44 años;2;2018;906,94
Total;De 35 a 44 años;2;2017;865,21
Total;De 35 a 44 años;2;2016;859,85
Total;De 35 a 44 años;2;2015;828,76
Total;De 35 a 44 años;2;2014;819,31
