tipo_de_jornada,grupo_de_edad,decil,año,total
Total,De 16 a 24 años,9,2018,2914.83
Total,De 16 a 24 años,9,2017,2890.22
Total,De 16 a 24 años,9,2016,2823.01
Total,De 16 a 24 años,9,2015,2995.06
Total,De 16 a 24 años,9,2014,2920.44
Total,De 16 a 24 años,9,2013,3014.91
Total,De 16 a 24 años,9,2012,2873.84
Total,De 16 a 24 años,9,2011,2771.89
Total,De 16 a 24 años,9,2010,2785.13
Total,De 16 a 24 años,9,2009,2755.47
Total,De 16 a 24 años,9,2008,2644.0
Total,De 16 a 24 años,9,2007,2539.77
Total,De 16 a 24 años,9,2006,2378.12
Total,De 16 a 24 años,10,2023,4941.66
Total,De 16 a 24 años,10,2022,4411.74
Total,De 16 a 24 años,10,2021,3861.58
Total,De 16 a 24 años,10,2020,5312.0
Total,De 16 a 24 años,10,2019,3977.1
Total,De 16 a 24 años,10,2018,4597.25
Total,De 16 a 24 años,10,2017,4053.12
Total,De 16 a 24 años,10,2016,3784.74
Total,De 16 a 24 años,10,2015,3862.43
Total,De 16 a 24 años,10,2014,5070.52
Total,De 16 a 24 años,10,2013,4368.04
Total,De 16 a 24 años,10,2012,4193.0
Total,De 16 a 24 años,10,2011,4167.22
Total,De 16 a 24 años,10,2010,4091.49
Total,De 16 a 24 años,10,2009,4206.61
Total,De 16 a 24 años,10,2008,3968.34
Total,De 16 a 24 años,10,2007,3661.64
Total,De 16 a 24 años,10,2006,3320.58
Total,De 25 a 34 años,Total decil,2023,2011.46
Total,De 25 a 34 años,Total decil,2022,1836.99
Total,De 25 a 34 años,Total decil,2021,1765.31
Total,De 25 a 34 años,Total decil,2020,1723.71
Total,De 25 a 34 años,Total decil,2019,1671.54
Total,De 25 a 34 años,Total decil,2018,1615.2
Total,De 25 a 34 años,Total decil,2017,1557.7
Total,De 25 a 34 años,Total decil,2016,1543.9
Total,De 25 a 34 años,Total decil,2015,1502.5
Total,De 25 a 34 años,Total decil,2014,1575.92
Total,De 25 a 34 años,Total decil,2013,1581.7
Total,De 25 a 34 años,Total decil,2012,1589.38
Total,De 25 a 34 años,Total decil,2011,1644.48
Total,De 25 a 34 años,Total decil,2010,1653.79
Total,De 25 a 34 años,Total decil,2009,1637.8
Total,De 25 a 34 años,Total decil,2008,1620.52
Total,De 25 a 34 años,Total decil,2007,1506.14
Total,De 25 a 34 años,Total decil,2006,1453.98
Total,De 25 a 34 años,1,2023,682.64
Total,De 25 a 34 años,1,2022,655.12
Total,De 25 a 34 años,1,2021,600.75
Total,De 25 a 34 años,1,2020,529.92
Total,De 25 a 34 años,1,2019,560.48
Total,De 25 a 34 años,1,2018,500.94
Total,De 25 a 34 años,1,2017,480.83
Total,De 25 a 34 años,1,2016,488.42
Total,De 25 a 34 años,1,2015,443.73
Total,De 25 a 34 años,1,2014,427.2
Total,De 25 a 34 años,1,2013,419.58
Total,De 25 a 34 años,1,2012,439.43
Total,De 25 a 34 años,1,2011,483.77
Total,De 25 a 34 años,1,2010,496.64
Total,De 25 a 34 años,1,2009,518.71
Total,De 25 a 34 años,1,2008,510.26
Total,De 25 a 34 años,1,2007,505.8
Total,De 25 a 34 años,1,2006,487.61
Total,De 25 a 34 años,2,2023,1206.04
Total,De 25 a 34 años,2,2022,1131.63
Total,De 25 a 34 años,2,2021,1033.3
Total,De 25 a 34 años,2,2020,1009.38
Total,De 25 a 34 años,2,2019,1001.29
Total,De 25 a 34 años,2,2018,903.64
Total,De 25 a 34 años,2,2017,870.55
Total,De 25 a 34 años,2,2016,860.14
Total,De 25 a 34 años,2,2015,835.18
Total,De 25 a 34 años,2,2014,822.5
Total,De 25 a 34 años,2,2013,809.13
Total,De 25 a 34 años,2,2012,844.88
Total,De 25 a 34 años,2,2011,862.59
Total,De 25 a 34 años,2,2010,904.33
Total,De 25 a 34 años,2,2009,875.07
Total,De 25 a 34 años,2,2008,890.64
Total,De 25 a 34 años,2,2007,853.74
Total,De 25 a 34 años,2,2006,803.76
Total,De 25 a 34 años,3,2023,1433.88
Total,De 25 a 34 años,3,2022,1334.12
Total,De 25 a 34 años,3,2021,1252.66
Total,De 25 a 34 años,3,2020,1239.62
Total,De 25 a 34 años,3,2019,1216.62
Total,De 25 a 34 años,3,2018,1157.67
Total,De 25 a 34 años,3,2017,1124.01
Total,De 25 a 34 años,3,2016,1120.85
Total,De 25 a 34 años,3,2015,1098.3
Total,De 25 a 34 años,3,2014,1096.83
Total,De 25 a 34 años,3,2013,1103.12
Total,De 25 a 34 años,3,2012,1115.91
Total,De 25 a 34 años,3,2011,1128.69
Total,De 25 a 34 años,3,2010,1141.66
Total,De 25 a 34 años,3,2009,1119.17
Total,De 25 a 34 años,3,2008,1114.37
Total,De 25 a 34 años,3,2007,1058.78
Total,De 25 a 34 años,3,2006,1004.98
Total,De 25 a 34 años,4,2023,1629.62
Total,De 25 a 34 años,4,2022,1524.04
Total,De 25 a 34 años,4,2021,1456.15
Total,De 25 a 34 años,4,2020,1425.03
Total,De 25 a 34 años,4,2019,1418.29
Total,De 25 a 34 años,4,2018,1356.54
Total,De 25 a 34 años,4,2017,1324.58
Total,De 25 a 34 años,4,2016,1325.34
Total,De 25 a 34 años,4,2015,1311.0
Total,De 25 a 34 años,4,2014,1312.24
Total,De 25 a 34 años,4,2013,1315.12
Total,De 25 a 34 años,4,2012,1321.38
Total,De 25 a 34 años,4,2011,1310.93
Total,De 25 a 34 años,4,2010,1316.1
Total,De 25 a 34 años,4,2009,1290.16
Total,De 25 a 34 años,4,2008,1266.96
Total,De 25 a 34 años,4,2007,1203.58
Total,De 25 a 34 años,4,2006,1145.55
Total,De 25 a 34 años,5,2023,1835.07
Total,De 25 a 34 años,5,2022,1710.21
Total,De 25 a 34 años,5,2021,1651.07
Total,De 25 a 34 años,5,2020,1608.21
Total,De 25 a 34 años,5,2019,1590.96
Total,De 25 a 34 años,5,2018,1543.43
Total,De 25 a 34 años,5,2017,1494.1
Total,De 25 a 34 años,5,2016,1495.01
Total,De 25 a 34 años,5,2015,1493.15
Total,De 25 a 34 años,5,2014,1502.93
Total,De 25 a 34 años,5,2013,1501.89
Total,De 25 a 34 años,5,2012,1486.15
Total,De 25 a 34 años,5,2011,1486.21
Total,De 25 a 34 años,5,2010,1476.66
Total,De 25 a 34 años,5,2009,1442.19
Total,De 25 a 34 años,5,2008,1411.49
Total,De 25 a 34 años,5,2007,1337.46
Total,De 25 a 34 años,5,2006,1269.08
Total,De 25 a 34 años,6,2023,2066.79
Total,De 25 a 34 años,6,2022,1908.26
Total,De 25 a 34 años,6,2021,1866.58
Total,De 25 a 34 años,6,2020,1815.19
Total,De 25 a 34 años,6,2019,1791.06
Total,De 25 a 34 años,6,2018,1747.86
Total,De 25 a 34 años,6,2017,1697.06
Total,De 25 a 34 años,6,2016,1698.62
Total,De 25 a 34 años,6,2015,1698.92
Total,De 25 a 34 años,6,2014,1714.16
Total,De 25 a 34 años,6,2013,1702.88
Total,De 25 a 34 años,6,2012,1685.68
Total,De 25 a 34 años,6,2011,1679.34
Total,De 25 a 34 años,6,2010,1669.06
Total,De 25 a 34 años,6,2009,1625.21
Total,De 25 a 34 años,6,2008,1572.03
Total,De 25 a 34 años,6,2007,1490.85
Total,De 25 a 34 años,6,2006,1418.72
Total,De 25 a 34 años,7,2023,2354.45
Total,De 25 a 34 años,7,2022,2175.41
Total,De 25 a 34 años,7,2021,2153.39
Total,De 25 a 34 años,7,2020,2105.4
Total,De 25 a 34 años,7,2019,2057.06
Total,De 25 a 34 años,7,2018,2014.85
Total,De 25 a 34 años,7,2017,1964.86
Total,De 25 a 34 años,7,2016,1972.36
Total,De 25 a 34 años,7,2015,1960.65
Total,De 25 a 34 años,7,2014,1990.94
Total,De 25 a 34 años,7,2013,1979.23
Total,De 25 a 34 años,7,2012,1940.96
Total,De 25 a 34 años,7,2011,1931.09
Total,De 25 a 34 años,7,2010,1915.26
Total,De 25 a 34 años,7,2009,1866.41
Total,De 25 a 34 años,7,2008,1795.28
Total,De 25 a 34 años,7,2007,1703.15
Total,De 25 a 34 años,7,2006,1634.23
Total,De 25 a 34 años,8,2023,2788.9
Total,De 25 a 34 años,8,2022,2600.07
Total,De 25 a 34 años,8,2021,2553.61
Total,De 25 a 34 años,8,2020,2544.85
Total,De 25 a 34 años,8,2019,2453.91
Total,De 25 a 34 años,8,2018,2421.27
Total,De 25 a 34 años,8,2017,2356.87
Total,De 25 a 34 años,8,2016,2339.51
Total,De 25 a 34 años,8,2015,2346.88
Total,De 25 a 34 años,8,2014,2386.15
Total,De 25 a 34 años,8,2013,2360.49
Total,De 25 a 34 años,8,2012,2295.13
Total,De 25 a 34 años,8,2011,2299.56
Total,De 25 a 34 años,8,2010,2298.79
Total,De 25 a 34 años,8,2009,2240.68
Total,De 25 a 34 años,8,2008,2143.78
Total,De 25 a 34 años,8,2007,2044.88
Total,De 25 a 34 años,8,2006,1962.38
Total,De 25 a 34 años,9,2023,3369.69
Total,De 25 a 34 años,9,2022,3160.82
Total,De 25 a 34 años,9,2021,3121.95
Total,De 25 a 34 años,9,2020,3104.17
Total,De 25 a 34 años,9,2019,2987.18
Total,De 25 a 34 años,9,2018,2956.12
Total,De 25 a 34 años,9,2017,2926.6
Total,De 25 a 34 años,9,2016,2879.33
Total,De 25 a 34 años,9,2015,2910.63
Total,De 25 a 34 años,9,2014,2910.69
Total,De 25 a 34 años,9,2013,2873.94
Total,De 25 a 34 años,9,2012,2805.41
Total,De 25 a 34 años,9,2011,2808.69
Total,De 25 a 34 años,9,2010,2810.74
Total,De 25 a 34 años,9,2009,2779.66
Total,De 25 a 34 años,9,2008,2655.24
Total,De 25 a 34 años,9,2007,2535.5
Total,De 25 a 34 años,9,2006,2430.3
Total,De 25 a 34 años,10,2023,5037.16
Total,De 25 a 34 años,10,2022,4590.72
Total,De 25 a 34 años,10,2021,4950.33
Total,De 25 a 34 años,10,2020,4794.62
Total,De 25 a 34 años,10,2019,4333.23
Total,De 25 a 34 años,10,2018,4574.49
Total,De 25 a 34 años,10,2017,4486.68
Total,De 25 a 34 años,10,2016,4394.87
Total,De 25 a 34 años,10,2015,4357.88
Total,De 25 a 34 años,10,2014,4444.63
Total,De 25 a 34 años,10,2013,4323.6
Total,De 25 a 34 años,10,2012,4447.85
Total,De 25 a 34 años,10,2011,4300.67
Total,De 25 a 34 años,10,2010,4160.99
Total,De 25 a 34 años,10,2009,4248.27
Total,De 25 a 34 años,10,2008,4086.8
Total,De 25 a 34 años,10,2007,3534.72
Total,De 25 a 34 años,10,2006,3582.03
Total,De 35 a 44 años,Total decil,2023,2279.69
Total,De 35 a 44 años,Total decil,2022,2172.8
Total,De 35 a 44 años,Total decil,2021,2113.89
Total,De 35 a 44 años,Total decil,2020,2048.47
Total,De 35 a 44 años,Total decil,2019,2015.83
Total,De 35 a 44 años,Total decil,2018,2020.61
Total,De 35 a 44 años,Total decil,2017,1953.54
Total,De 35 a 44 años,Total decil,2016,1915.8
Total,De 35 a 44 años,Total decil,2015,1961.03
Total,De 35 a 44 años,Total decil,2014,1951.49
Total,De 35 a 44 años,Total decil,2013,1938.74
Total,De 35 a 44 años,Total decil,2012,1921.95
Total,De 35 a 44 años,Total decil,2011,1889.13
Total,De 35 a 44 años,Total decil,2010,1868.04
Total,De 35 a 44 años,Total decil,2009,1886.05
Total,De 35 a 44 años,Total decil,2008,1868.84
Total,De 35 a 44 años,Total decil,2007,1736.16
Total,De 35 a 44 años,Total decil,2006,1638.34
Total,De 35 a 44 años,1,2023,656.86
Total,De 35 a 44 años,1,2022,640.13
Total,De 35 a 44 años,1,2021,589.89
Total,De 35 a 44 años,1,2020,548.05
Total,De 35 a 44 años,1,2019,538.06
Total,De 35 a 44 años,1,2018,471.55
Total,De 35 a 44 años,1,2017,479.22
Total,De 35 a 44 años,1,2016,456.92
Total,De 35 a 44 años,1,2015,423.45
Total,De 35 a 44 años,1,2014,413.32
Total,De 35 a 44 años,1,2013,422.31
Total,De 35 a 44 años,1,2012,423.65
Total,De 35 a 44 años,1,2011,475.01
Total,De 35 a 44 años,1,2010,485.15
Total,De 35 a 44 años,1,2009,503.99
Total,De 35 a 44 años,1,2008,504.48
Total,De 35 a 44 años,1,2007,516.41
Total,De 35 a 44 años,1,2006,472.37
Total,De 35 a 44 años,2,2023,1206.4
Total,De 35 a 44 años,2,2022,1136.87
Total,De 35 a 44 años,2,2021,1037.71
Total,De 35 a 44 años,2,2020,1005.74
Total,De 35 a 44 años,2,2019,989.62
Total,De 35 a 44 años,2,2018,906.94
Total,De 35 a 44 años,2,2017,865.21
Total,De 35 a 44 años,2,2016,859.85
Total,De 35 a 44 años,2,2015,828.76
Total,De 35 a 44 años,2,2014,819.31
Total,De 35 a 44 años,2,2013,824.54
Total,De 35 a 44 años,2,2012,843.94
Total,De 35 a 44 años,2,2011,864.72
Total,De 35 a 44 años,2,2010,888.3
Total,De 35 a 44 años,2,2009,871.46
Total,De 35 a 44 años,2,2008,893.84
Total,De 35 a 44 años,2,2007,851.36
Total,De 35 a 44 años,2,2006,799.18
Total,De 35 a 44 años,3,2023,1436.52
Total,De 35 a 44 años,3,2022,1341.73
Total,De 35 a 44 años,3,2021,1260.08
Total,De 35 a 44 años,3,2020,1236.47
Total,De 35 a 44 años,3,2019,1227.03
Total,De 35 a 44 años,3,2018,1158.29
Total,De 35 a 44 años,3,2017,1124.36
Total,De 35 a 44 años,3,2016,1114.76
Total,De 35 a 44 años,3,2015,1105.96
Total,De 35 a 44 años,3,2014,1105.43
Total,De 35 a 44 años,3,2013,1104.09
Total,De 35 a 44 años,3,2012,1121.43
Total,De 35 a 44 años,3,2011,1129.97
Total,De 35 a 44 años,3,2010,1139.4
